Ticket_ID,Ticket_Type,Category,Auto_Tags,Tag_Count
TKT-00079,General Inquiry,Documentation,general,0
TKT-00080,General Inquiry,Performance,performance,1
TKT-00081,Feature Request,UI/UX,feature_request,1
TKT-00082,Account Access,Payment,"password_reset, billing",2
TKT-00083,Feature Request,Integration,"feature_request, integration",2
TKT-00084,Feature Request,Integration,"feature_request, integration",2
TKT-00085,Feature Request,Payment,"billing, feature_request",2
TKT-00086,Feature Request,Performance,"feature_request, performance",2
TKT-00087,Technical Issue,UI/UX,bug,1
TKT-00088,General Inquiry,Integration,integration,1
TKT-00089,General Inquiry,Integration,integration,1
TKT-00090,Bug Report,Documentation,bug,1
TKT-00091,Billing Question,Authentication,"password_reset, billing",2
TKT-00092,General Inquiry,Data Loss,data_issue,1
TKT-00093,Account Access,UI/UX,password_reset,1
TKT-00094,Technical Issue,Integration,"bug, integration",2
TKT-00095,Billing Question,UI/UX,billing,1
TKT-00096,Bug Report,Data Loss,"bug, data_issue",2
TKT-00097,Feature Request,UI/UX,feature_request,1
TKT-00098,Bug Report,Data Loss,"bug, data_issue",2
TKT-00099,Billing Question,Data Loss,"billing, data_issue",2
TKT-00100,General Inquiry,Integration,integration,1
TKT-00101,Billing Question,Integration,"billing, integration",2
TKT-00102,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00103,Technical Issue,Documentation,bug,1
TKT-00104,Account Access,Payment,"password_reset, billing",2
TKT-00105,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00106,General Inquiry,Authentication,password_reset,1
TKT-00107,General Inquiry,Integration,integration,1
TKT-00108,Bug Report,Performance,"bug, performance",2
TKT-00109,Feature Request,Integration,"feature_request, integration",2
TKT-00110,Bug Report,Data Loss,"bug, data_issue",2
TKT-00111,Feature Request,Integration,"feature_request, integration",2
TKT-00112,Billing Question,Data Loss,"billing, data_issue",2
TKT-00113,Billing Question,UI/UX,billing,1
TKT-00114,Feature Request,Performance,"feature_request, performance",2
TKT-00115,Account Access,Documentation,password_reset,1
TKT-00116,Billing Question,Performance,"billing, performance",2
TKT-00117,Account Access,Performance,"password_reset, performance",2
TKT-00118,Billing Question,Authentication,"password_reset, billing",2
TKT-00119,General Inquiry,Authentication,password_reset,1
TKT-00120,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00121,Technical Issue,Authentication,"password_reset, bug",2
TKT-00122,General Inquiry,Payment,billing,1
TKT-00123,Feature Request,Documentation,feature_request,1
TKT-00124,Bug Report,Performance,"bug, performance",2
TKT-00125,Technical Issue,Performance,"bug, performance",2
TKT-00126,Billing Question,Documentation,billing,1
TKT-00127,Billing Question,UI/UX,billing,1
TKT-00128,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00129,Technical Issue,Authentication,"password_reset, bug",2
TKT-00130,Bug Report,Documentation,bug,1
TKT-00131,Technical Issue,UI/UX,bug,1
TKT-00132,Feature Request,Performance,"feature_request, performance",2
TKT-00133,Bug Report,Integration,"bug, integration",2
TKT-00134,General Inquiry,Authentication,password_reset,1
TKT-00135,General Inquiry,Integration,integration,1
TKT-00136,Technical Issue,Performance,"bug, performance",2
TKT-00137,Billing Question,Performance,"billing, performance",2
TKT-00138,General Inquiry,Integration,integration,1
TKT-00139,Technical Issue,Performance,"bug, performance",2
TKT-00140,Feature Request,Authentication,"password_reset, feature_request",2
TKT-00141,Feature Request,UI/UX,feature_request,1
TKT-00142,Billing Question,Payment,billing,1
TKT-00143,Bug Report,Payment,"billing, bug",2
TKT-00144,Billing Question,Payment,billing,1
TKT-00145,Technical Issue,UI/UX,bug,1
TKT-00146,Billing Question,Performance,"billing, performance",2
TKT-00147,Bug Report,Data Loss,"bug, data_issue",2
TKT-00148,Account Access,Authentication,password_reset,1
TKT-00149,Billing Question,UI/UX,billing,1
TKT-00150,General Inquiry,Authentication,password_reset,1
TKT-00151,Bug Report,Documentation,bug,1
TKT-00152,Account Access,Performance,"password_reset, performance",2
TKT-00153,Bug Report,Authentication,"password_reset, bug",2
TKT-00154,Bug Report,Performance,"bug, performance",2
TKT-00155,General Inquiry,Payment,billing,1
TKT-00156,Account Access,Authentication,password_reset,1
TKT-00157,Billing Question,Data Loss,"billing, data_issue",2
TKT-00158,Account Access,Performance,"password_reset, performance",2
TKT-00159,Billing Question,Authentication,"password_reset, billing",2
TKT-00160,General Inquiry,Integration,integration,1
TKT-00161,Bug Report,UI/UX,bug,1
TKT-00162,Billing Question,Documentation,billing,1
TKT-00163,Feature Request,Integration,"feature_request, integration",2
TKT-00164,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00165,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00166,Technical Issue,Integration,"bug, integration",2
TKT-00167,Bug Report,Performance,"bug, performance",2
TKT-00168,Bug Report,Authentication,"password_reset, bug",2
TKT-00169,General Inquiry,UI/UX,general,0
TKT-00170,Billing Question,Integration,"billing, integration",2
TKT-00171,General Inquiry,Data Loss,data_issue,1
TKT-00172,General Inquiry,Authentication,password_reset,1
TKT-00173,Feature Request,Performance,"feature_request, performance",2
TKT-00174,Bug Report,Integration,"bug, integration",2
TKT-00175,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00176,Technical Issue,Integration,"bug, integration",2
TKT-00177,Account Access,Performance,"password_reset, performance",2
TKT-00178,General Inquiry,Data Loss,data_issue,1
TKT-00179,General Inquiry,Authentication,password_reset,1
TKT-00180,Feature Request,Documentation,feature_request,1
TKT-00181,Bug Report,Integration,"bug, integration",2
TKT-00182,Account Access,Authentication,password_reset,1
TKT-00183,General Inquiry,UI/UX,general,0
TKT-00184,Feature Request,UI/UX,feature_request,1
TKT-00185,Feature Request,Payment,"billing, feature_request",2
TKT-00186,Billing Question,Performance,"billing, performance",2
TKT-00187,Account Access,Integration,"password_reset, integration",2
TKT-00188,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00189,Billing Question,Documentation,billing,1
TKT-00190,Bug Report,Documentation,bug,1
TKT-00191,Feature Request,UI/UX,feature_request,1
TKT-00192,Billing Question,Performance,"billing, performance",2
TKT-00193,Billing Question,Payment,billing,1
TKT-00194,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00195,General Inquiry,Performance,performance,1
TKT-00196,Billing Question,Performance,"billing, performance",2
TKT-00197,Feature Request,Integration,"feature_request, integration",2
TKT-00198,Technical Issue,Payment,"billing, bug",2
TKT-00199,Bug Report,Integration,"bug, integration",2
TKT-00200,Feature Request,UI/UX,feature_request,1
TKT-00201,Feature Request,Documentation,feature_request,1
TKT-00202,Bug Report,Documentation,bug,1
TKT-00203,Bug Report,Authentication,"password_reset, bug",2
TKT-00204,Billing Question,Documentation,billing,1
TKT-00205,Feature Request,Documentation,feature_request,1
TKT-00206,Billing Question,Data Loss,"billing, data_issue",2
TKT-00207,Account Access,Payment,"password_reset, billing",2
TKT-00208,Billing Question,Performance,"billing, performance",2
TKT-00209,Account Access,Performance,"password_reset, performance",2
TKT-00210,General Inquiry,Authentication,password_reset,1
TKT-00211,Technical Issue,Performance,"bug, performance",2
TKT-00212,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00213,Account Access,Integration,"password_reset, integration",2
TKT-00214,Technical Issue,Documentation,bug,1
TKT-00215,Bug Report,Payment,"billing, bug",2
TKT-00216,General Inquiry,Data Loss,data_issue,1
TKT-00217,Billing Question,UI/UX,billing,1
TKT-00218,Technical Issue,Authentication,"password_reset, bug",2
TKT-00219,Account Access,UI/UX,password_reset,1
TKT-00220,Feature Request,Documentation,feature_request,1
TKT-00221,General Inquiry,Data Loss,data_issue,1
TKT-00222,Bug Report,Authentication,"password_reset, bug",2
TKT-00223,Bug Report,Data Loss,"bug, data_issue",2
TKT-00224,Technical Issue,Performance,"bug, performance",2
TKT-00225,Technical Issue,Performance,"bug, performance",2
TKT-00226,Billing Question,Authentication,"password_reset, billing",2
TKT-00227,Bug Report,Data Loss,"bug, data_issue",2
TKT-00228,General Inquiry,Documentation,general,0
TKT-00229,General Inquiry,Data Loss,data_issue,1
TKT-00230,Bug Report,Integration,"bug, integration",2
TKT-00231,Billing Question,Integration,"billing, integration",2
TKT-00232,Feature Request,Payment,"billing, feature_request",2
TKT-00233,Billing Question,Performance,"billing, performance",2
TKT-00234,Account Access,Documentation,password_reset,1
TKT-00235,Account Access,Authentication,password_reset,1
TKT-00236,Technical Issue,UI/UX,bug,1
TKT-00237,Billing Question,Documentation,billing,1
TKT-00238,Billing Question,Performance,"billing, performance",2
TKT-00239,General Inquiry,Data Loss,data_issue,1
TKT-00240,Technical Issue,Documentation,bug,1
TKT-00241,General Inquiry,Performance,performance,1
TKT-00242,Feature Request,Integration,"feature_request, integration",2
TKT-00243,Billing Question,UI/UX,billing,1
TKT-00244,General Inquiry,Data Loss,data_issue,1
TKT-00245,Bug Report,Performance,"bug, performance",2
TKT-00246,General Inquiry,Payment,billing,1
TKT-00247,Billing Question,Integration,"billing, integration",2
TKT-00248,Feature Request,Integration,"feature_request, integration",2
TKT-00249,Billing Question,Performance,"billing, performance",2
TKT-00250,Bug Report,Data Loss,"bug, data_issue",2
TKT-00251,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00252,Account Access,Integration,"password_reset, integration",2
TKT-00253,Feature Request,UI/UX,feature_request,1
TKT-00254,Feature Request,Documentation,feature_request,1
TKT-00255,Bug Report,Data Loss,"bug, data_issue",2
TKT-00256,General Inquiry,Payment,billing,1
TKT-00257,Account Access,Authentication,password_reset,1
TKT-00258,Account Access,UI/UX,password_reset,1
TKT-00259,Account Access,UI/UX,password_reset,1
TKT-00260,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00261,Bug Report,Documentation,bug,1
TKT-00262,Feature Request,Payment,"billing, feature_request",2
TKT-00263,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00264,Technical Issue,Integration,"bug, integration",2
TKT-00265,General Inquiry,Payment,billing,1
TKT-00266,Feature Request,UI/UX,feature_request,1
TKT-00267,Account Access,Documentation,password_reset,1
TKT-00268,Billing Question,UI/UX,billing,1
TKT-00269,Account Access,Integration,"password_reset, integration",2
TKT-00270,Account Access,Performance,"password_reset, performance",2
TKT-00271,Feature Request,UI/UX,feature_request,1
TKT-00272,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00273,Bug Report,Documentation,bug,1
TKT-00274,Billing Question,Data Loss,"billing, data_issue",2
TKT-00275,General Inquiry,Documentation,general,0
TKT-00276,Billing Question,Documentation,billing,1
TKT-00277,Technical Issue,Integration,"bug, integration",2
TKT-00278,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00279,Bug Report,UI/UX,bug,1
TKT-00280,Bug Report,UI/UX,bug,1
TKT-00281,Bug Report,Authentication,"password_reset, bug",2
TKT-00282,General Inquiry,Data Loss,data_issue,1
TKT-00283,Feature Request,Payment,"billing, feature_request",2
TKT-00284,Account Access,Performance,"password_reset, performance",2
TKT-00285,Billing Question,Integration,"billing, integration",2
TKT-00286,Billing Question,Payment,billing,1
TKT-00287,Account Access,Payment,"password_reset, billing",2
TKT-00288,Billing Question,Payment,billing,1
TKT-00289,Feature Request,UI/UX,feature_request,1
TKT-00290,Bug Report,UI/UX,bug,1
TKT-00291,Billing Question,Documentation,billing,1
TKT-00292,Feature Request,Performance,"feature_request, performance",2
TKT-00293,Bug Report,Documentation,bug,1
TKT-00294,General Inquiry,Integration,integration,1
TKT-00295,General Inquiry,Integration,integration,1
TKT-00296,Account Access,Performance,"password_reset, performance",2
TKT-00297,Account Access,Documentation,password_reset,1
TKT-00298,Feature Request,Documentation,feature_request,1
TKT-00299,General Inquiry,Authentication,password_reset,1
TKT-00300,General Inquiry,UI/UX,general,0
TKT-00301,General Inquiry,Payment,billing,1
TKT-00302,Feature Request,Documentation,feature_request,1
TKT-00303,Feature Request,Integration,"feature_request, integration",2
TKT-00304,Billing Question,Performance,"billing, performance",2
TKT-00305,General Inquiry,Documentation,general,0
TKT-00306,Account Access,Performance,"password_reset, performance",2
TKT-00307,Billing Question,UI/UX,billing,1
TKT-00308,Billing Question,Payment,billing,1
TKT-00309,General Inquiry,Performance,performance,1
TKT-00310,Bug Report,UI/UX,bug,1
TKT-00311,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00312,Billing Question,Payment,billing,1
TKT-00313,Bug Report,Integration,"bug, integration",2
TKT-00314,General Inquiry,Payment,billing,1
TKT-00315,Technical Issue,Authentication,"password_reset, bug",2
TKT-00316,Bug Report,Payment,"billing, bug",2
TKT-00317,Technical Issue,Payment,"billing, bug",2
TKT-00318,Technical Issue,Authentication,"password_reset, bug",2
TKT-00319,General Inquiry,Payment,billing,1
TKT-00320,Technical Issue,Documentation,bug,1
TKT-00321,Technical Issue,Documentation,bug,1
TKT-00322,Feature Request,Performance,"feature_request, performance",2
TKT-00323,Billing Question,Integration,"billing, integration",2
TKT-00324,General Inquiry,Integration,integration,1
TKT-00325,Billing Question,Data Loss,"billing, data_issue",2
TKT-00326,Technical Issue,Integration,"bug, integration",2
TKT-00327,General Inquiry,Integration,integration,1
TKT-00328,Billing Question,UI/UX,billing,1
TKT-00329,Technical Issue,Authentication,"password_reset, bug",2
TKT-00330,Billing Question,Payment,billing,1
TKT-00331,Bug Report,Payment,"billing, bug",2
TKT-00332,Feature Request,Performance,"feature_request, performance",2
TKT-00333,Account Access,Payment,"password_reset, billing",2
TKT-00334,Technical Issue,Authentication,"password_reset, bug",2
TKT-00335,Bug Report,Performance,"bug, performance",2
TKT-00336,General Inquiry,Documentation,general,0
TKT-00337,General Inquiry,Documentation,general,0
TKT-00338,Bug Report,Performance,"bug, performance",2
TKT-00339,Feature Request,UI/UX,feature_request,1
TKT-00340,General Inquiry,Data Loss,data_issue,1
TKT-00341,Feature Request,Payment,"billing, feature_request",2
TKT-00342,Technical Issue,UI/UX,bug,1
TKT-00343,Technical Issue,Documentation,bug,1
TKT-00344,Bug Report,Authentication,"password_reset, bug",2
TKT-00345,Bug Report,UI/UX,bug,1
TKT-00346,Feature Request,Integration,"feature_request, integration",2
TKT-00347,Technical Issue,Documentation,bug,1
TKT-00348,Technical Issue,Authentication,"password_reset, bug",2
TKT-00349,Bug Report,Authentication,"password_reset, bug",2
TKT-00350,General Inquiry,Documentation,general,0
TKT-00351,Account Access,Authentication,password_reset,1
TKT-00352,Bug Report,Performance,"bug, performance",2
TKT-00353,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00354,Technical Issue,Performance,"bug, performance",2
TKT-00355,Bug Report,Documentation,bug,1
TKT-00356,General Inquiry,Authentication,password_reset,1
TKT-00357,General Inquiry,Integration,integration,1
TKT-00358,Feature Request,Performance,"feature_request, performance",2
TKT-00359,Billing Question,UI/UX,billing,1
TKT-00360,Technical Issue,UI/UX,bug,1
TKT-00361,Technical Issue,Authentication,"password_reset, bug",2
TKT-00362,Bug Report,Integration,"bug, integration",2
TKT-00363,Billing Question,Documentation,billing,1
TKT-00364,Billing Question,UI/UX,billing,1
TKT-00365,Billing Question,Documentation,billing,1
TKT-00366,Bug Report,Payment,"billing, bug",2
TKT-00367,Bug Report,Payment,"billing, bug",2
TKT-00368,Account Access,Authentication,password_reset,1
TKT-00369,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00370,Account Access,UI/UX,password_reset,1
TKT-00371,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00372,Technical Issue,Authentication,"password_reset, bug",2
TKT-00373,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00374,Feature Request,UI/UX,feature_request,1
TKT-00375,Feature Request,Documentation,feature_request,1
TKT-00376,Bug Report,Data Loss,"bug, data_issue",2
TKT-00377,Billing Question,Documentation,billing,1
TKT-00378,General Inquiry,Data Loss,data_issue,1
TKT-00379,Billing Question,Performance,"billing, performance",2
TKT-00380,Account Access,Integration,"password_reset, integration",2
TKT-00381,General Inquiry,Authentication,password_reset,1
TKT-00382,Technical Issue,Payment,"billing, bug",2
TKT-00383,General Inquiry,Data Loss,data_issue,1
TKT-00384,General Inquiry,Authentication,password_reset,1
TKT-00385,Technical Issue,Documentation,bug,1
TKT-00386,Technical Issue,Documentation,bug,1
TKT-00387,Feature Request,Performance,"feature_request, performance",2
TKT-00388,Feature Request,Performance,"feature_request, performance",2
TKT-00389,Feature Request,Documentation,feature_request,1
TKT-00390,Bug Report,Data Loss,"bug, data_issue",2
TKT-00391,Feature Request,UI/UX,feature_request,1
TKT-00392,Technical Issue,Integration,"bug, integration",2
TKT-00393,General Inquiry,Documentation,general,0
TKT-00394,Technical Issue,UI/UX,bug,1
TKT-00395,General Inquiry,UI/UX,general,0
TKT-00396,Billing Question,Payment,billing,1
TKT-00397,Technical Issue,Integration,"bug, integration",2
TKT-00398,Feature Request,Payment,"billing, feature_request",2
TKT-00399,Feature Request,Payment,"billing, feature_request",2
TKT-00400,General Inquiry,Authentication,password_reset,1
TKT-00401,Account Access,Payment,"password_reset, billing",2
TKT-00402,Bug Report,Payment,"billing, bug",2
TKT-00403,Technical Issue,Performance,"bug, performance",2
TKT-00404,Bug Report,Integration,"bug, integration",2
TKT-00405,Technical Issue,Integration,"bug, integration",2
TKT-00406,Billing Question,Performance,"billing, performance",2
TKT-00407,Billing Question,Documentation,billing,1
TKT-00408,General Inquiry,Data Loss,data_issue,1
TKT-00409,Bug Report,Authentication,"password_reset, bug",2
TKT-00410,Feature Request,Integration,"feature_request, integration",2
TKT-00411,Account Access,Data Loss,"password_reset, data_issue",2
TKT-00412,Technical Issue,Performance,"bug, performance",2
TKT-00413,Technical Issue,UI/UX,bug,1
TKT-00414,General Inquiry,Authentication,password_reset,1
TKT-00415,Account Access,Performance,"password_reset, performance",2
TKT-00416,Bug Report,Data Loss,"bug, data_issue",2
TKT-00417,Bug Report,Integration,"bug, integration",2
TKT-00418,General Inquiry,Integration,integration,1
TKT-00419,Technical Issue,UI/UX,bug,1
TKT-00420,Billing Question,Payment,billing,1
TKT-00421,Account Access,Performance,"password_reset, performance",2
TKT-00422,Technical Issue,Documentation,bug,1
TKT-00423,Billing Question,Payment,billing,1
TKT-00424,Bug Report,Performance,"bug, performance",2
TKT-00425,Billing Question,Integration,"billing, integration",2
TKT-00426,General Inquiry,UI/UX,general,0
TKT-00427,Feature Request,Performance,"feature_request, performance",2
TKT-00428,Technical Issue,Documentation,bug,1
TKT-00429,Account Access,Performance,"password_reset, performance",2
TKT-00430,Billing Question,Authentication,"password_reset, billing",2
TKT-00431,Bug Report,UI/UX,bug,1
TKT-00432,Billing Question,Data Loss,"billing, data_issue",2
TKT-00433,Bug Report,Authentication,"password_reset, bug",2
TKT-00434,Feature Request,Documentation,feature_request,1
TKT-00435,General Inquiry,UI/UX,general,0
TKT-00436,Bug Report,UI/UX,bug,1
TKT-00437,Account Access,Documentation,password_reset,1
TKT-00438,Feature Request,Authentication,"password_reset, feature_request",2
TKT-00439,General Inquiry,UI/UX,general,0
TKT-00440,Billing Question,Documentation,billing,1
TKT-00441,General Inquiry,UI/UX,general,0
TKT-00442,General Inquiry,Payment,billing,1
TKT-00443,Technical Issue,Performance,"bug, performance",2
TKT-00444,Bug Report,Data Loss,"bug, data_issue",2
TKT-00445,General Inquiry,Integration,integration,1
TKT-00446,Account Access,Performance,"password_reset, performance",2
TKT-00447,Technical Issue,UI/UX,bug,1
TKT-00448,Technical Issue,UI/UX,bug,1
TKT-00449,Feature Request,Performance,"feature_request, performance",2
TKT-00450,Billing Question,Documentation,billing,1
TKT-00451,Technical Issue,UI/UX,bug,1
TKT-00452,Account Access,Authentication,password_reset,1
TKT-00453,Bug Report,Data Loss,"bug, data_issue",2
TKT-00454,Bug Report,Documentation,bug,1
TKT-00455,Bug Report,Payment,"billing, bug",2
TKT-00456,Feature Request,Documentation,feature_request,1
TKT-00457,Account Access,Integration,"password_reset, integration",2
TKT-00458,Technical Issue,Integration,"bug, integration",2
TKT-00459,General Inquiry,Authentication,password_reset,1
TKT-00460,Account Access,Integration,"password_reset, integration",2
TKT-00461,Feature Request,Performance,"feature_request, performance",2
TKT-00462,Feature Request,Performance,"feature_request, performance",2
TKT-00463,Billing Question,Authentication,"password_reset, billing",2
TKT-00464,Account Access,Documentation,password_reset,1
TKT-00465,Bug Report,Documentation,bug,1
TKT-00466,Feature Request,Payment,"billing, feature_request",2
TKT-00467,Feature Request,Performance,"feature_request, performance",2
TKT-00468,Billing Question,Payment,billing,1
TKT-00469,General Inquiry,Documentation,general,0
TKT-00470,Bug Report,Payment,"billing, bug",2
TKT-00471,General Inquiry,Integration,integration,1
TKT-00472,Feature Request,UI/UX,feature_request,1
TKT-00473,Technical Issue,Performance,"bug, performance",2
TKT-00474,Bug Report,Documentation,bug,1
TKT-00475,Account Access,Documentation,password_reset,1
TKT-00476,Billing Question,UI/UX,billing,1
TKT-00477,General Inquiry,Integration,integration,1
TKT-00478,Technical Issue,Documentation,bug,1
TKT-00479,Technical Issue,Authentication,"password_reset, bug",2
TKT-00480,Account Access,Performance,"password_reset, performance",2
TKT-00481,Billing Question,Documentation,billing,1
TKT-00482,Feature Request,Authentication,"password_reset, feature_request",2
TKT-00483,General Inquiry,Documentation,general,0
TKT-00484,General Inquiry,Documentation,general,0
TKT-00485,Billing Question,Integration,"billing, integration",2
TKT-00486,General Inquiry,Integration,integration,1
TKT-00487,Feature Request,UI/UX,feature_request,1
TKT-00488,Account Access,Integration,"password_reset, integration",2
TKT-00489,Account Access,Documentation,password_reset,1
TKT-00490,Technical Issue,Performance,"bug, performance",2
TKT-00491,Technical Issue,UI/UX,bug,1
TKT-00492,Technical Issue,Integration,"bug, integration",2
TKT-00493,Account Access,Documentation,password_reset,1
TKT-00494,Feature Request,Authentication,"password_reset, feature_request",2
TKT-00495,Account Access,Documentation,password_reset,1
TKT-00496,Account Access,Payment,"password_reset, billing",2
TKT-00497,Technical Issue,UI/UX,bug,1
TKT-00498,Billing Question,Performance,"billing, performance",2
TKT-00499,Technical Issue,Data Loss,"bug, data_issue",2
TKT-00500,Billing Question,Authentication,"password_reset, billing",2
TKT-00501,Feature Request,Performance,"feature_request, performance",2
TKT-00502,Feature Request,Integration,"feature_request, integration",2
TKT-00503,Bug Report,Data Loss,"bug, data_issue",2
TKT-00504,Bug Report,UI/UX,bug,1
TKT-00505,Bug Report,Documentation,bug,1
TKT-00506,Feature Request,Data Loss,"feature_request, data_issue",2
TKT-00507,Technical Issue,UI/UX,bug,1
TKT-00508,Technical Issue,Performance,"bug, performance",2
TKT-00509,Technical Issue,Integration,"bug, integration",2
TKT-00510,Account Access,UI/UX,password_reset,1
TKT-00511,Bug Report,Authentication,"password_reset, bug",2
TKT-00512,Technical Issue,Documentation,bug,1
TKT-00513,Bug Report,Authentication,"password_reset, bug",2
TKT-00514,Bug Report,UI/UX,bug,1
TKT-00515,Account Access,UI/UX,password_reset,1
TKT-00516,Feature Request,Payment,"billing, feature_request",2
TKT-00517,Technical Issue,UI/UX,bug,1
TKT-00518,Account Access,Integration,"password_reset, integration",2
TKT-00519,Feature Request,Documentation,feature_request,1
TKT-00520,Feature Request,UI/UX,feature_request,1
TKT-00521,Technical Issue,Payment,"billing, bug",2
TKT-00522,General Inquiry,Authentication,password_reset,1
TKT-00523,Bug Report,Integration,"bug, integration",2
TKT-00524,Billing Question,Payment,billing,1
TKT-00525,Bug Report,UI/UX,bug,1
TKT-00526,Bug Report,Performance,"bug, performance",2
TKT-00527,Billing Question,Performance,"billing, performance",2
TKT-00528,General Inquiry,Data Loss,data_issue,1
TKT-00529,Feature Request,Authentication,"password_reset, feature_request",2
TKT-00530,Billing Question,Authentication,"password_reset, billing",2
TKT-00531,Billing Question,Payment,billing,1
